feature,target,correlation,t_stat,p_value,n_obs,abs_corr,abs_t_stat
sol_log_return_lag0,fwd_return_100ms,0.001042458385569652,9.689778765222117,0.0,86399217,0.001042458385569652,9.689778765222117
sol_log_return_lag0,fwd_return_500ms,0.020740669921417838,192.8268249725228,0.0,86397761,0.020740669921417838,192.8268249725228
sol_log_return_lag0,fwd_return_1s,0.019025921285777365,176.8768432218179,0.0,86395941,0.019025921285777365,176.8768432218179
sol_log_return_lag0,fwd_return_5s,0.012751995303210743,118.5287008965682,0.0,86381381,0.012751995303210743,118.5287008965682
sol_log_return_lag0,fwd_return_10s,0.009085655501668842,84.43810963042118,0.0,86363181,0.009085655501668842,84.43810963042118
sol_log_return_lag0,fwd_return_30s,0.005634269270802172,52.339031310188744,0.0,86290381,0.005634269270802172,52.339031310188744
sol_log_return_lag0,fwd_return_1m,0.003642889096138516,33.81858894179487,0.0,86181354,0.003642889096138516,33.81858894179487
sol_log_return_lag0,fwd_return_5m,0.0010237012393808967,9.455565685191488,0.0,85315537,0.0010237012393808967,9.455565685191488
sol_log_return_lag0,fwd_return_15m,0.0005298251127480578,4.831598647638271,1.3544132102527584e-06,83160389,0.0005298251127480578,4.831598647638271
sol_log_return_lag0,fwd_vol_1s,-0.0014966702606877074,-13.911440380832786,0.0,86395471,0.0014966702606877074,13.911440380832786
sol_log_return_lag0,fwd_vol_5s,-0.001428036836235573,-13.272233446526542,0.0,86379031,0.001428036836235573,13.272233446526542
sol_log_return_lag0,fwd_vol_10s,-0.0014736802426700971,-13.69481673842886,0.0,86358481,0.0014736802426700971,13.69481673842886
sol_log_return_lag0,fwd_vol_30s,-0.001351723727468843,-12.55550071471889,0.0,86276281,0.001351723727468843,12.55550071471889
sol_log_return_lag0,fwd_vol_1m,-0.001114266769275458,-10.342488197473935,0.0,86153154,0.001114266769275458,10.342488197473935
sol_log_return_lag0,fwd_vol_5m,-0.0005129385805902454,-4.733957274637928,2.201844483185056e-06,85176116,0.0005129385805902454,4.733957274637928
sol_log_return_lag0,fwd_vol_15m,-0.00038031584364479177,-3.459659711073935,0.0005408586962667439,82751882,0.00038031584364479177,3.459659711073935
sol_log_return_lag100ms,fwd_return_100ms,0.020620615573455223,191.71181194167048,0.0,86399215,0.020620615573455223,191.71181194167048
sol_log_return_lag100ms,fwd_return_500ms,0.02016966065846853,187.515936067063,0.0,86397759,0.02016966065846853,187.515936067063
sol_log_return_lag100ms,fwd_return_1s,0.02058852848717135,191.4097397169226,0.0,86395939,0.02058852848717135,191.4097397169226
sol_log_return_lag100ms,fwd_return_5s,0.012602778245202733,117.14151817424533,0.0,86381379,0.012602778245202733,117.14151817424533
sol_log_return_lag100ms,fwd_return_10s,0.009184763225895844,85.35924978536205,0.0,86363179,0.009184763225895844,85.35924978536205
sol_log_return_lag100ms,fwd_return_30s,0.005630459713415707,52.30364104532146,0.0,86290379,0.005630459713415707,52.30364104532146
sol_log_return_lag100ms,fwd_return_1m,0.003603276250531385,33.45083977064561,0.0,86181352,0.003603276250531385,33.45083977064561
sol_log_return_lag100ms,fwd_return_5m,0.0009787790126087363,9.040634478336809,0.0,85315535,0.0009787790126087363,9.040634478336809
sol_log_return_lag100ms,fwd_return_15m,0.0004727904821908677,4.311486387911934,1.6216094511189993e-05,83160387,0.0004727904821908677,4.311486387911934
sol_log_return_lag100ms,fwd_vol_1s,-0.0008871641912975673,-8.246120050973785,2.220446049250313e-16,86395469,0.0008871641912975673,8.246120050973785
sol_log_return_lag100ms,fwd_vol_5s,-0.0012213843858000892,-11.351593782159794,0.0,86379029,0.0012213843858000892,11.351593782159794
sol_log_return_lag100ms,fwd_vol_10s,-0.0014017895631675394,-13.026739730265334,0.0,86358479,0.0014017895631675394,13.026739730265334
sol_log_return_lag100ms,fwd_vol_30s,-0.0012981072511554234,-12.057482488288104,0.0,86276279,0.0012981072511554234,12.057482488288104
sol_log_return_lag100ms,fwd_vol_1m,-0.0010856195112148848,-10.076587409012694,0.0,86153152,0.0010856195112148848,10.076587409012694
sol_log_return_lag100ms,fwd_vol_5m,-0.0005016994291281179,-4.630230032695335,3.652602625692225e-06,85176114,0.0005016994291281179,4.630230032695335
sol_log_return_lag100ms,fwd_vol_15m,-0.0003699391160028207,-3.3652645718656076,0.0007647032971906942,82751880,0.0003699391160028207,3.3652645718656076
sol_log_return_lag200ms,fwd_return_100ms,0.017371153254550794,161.49127956144122,0.0,86399213,0.017371153254550794,161.49127956144122
sol_log_return_lag200ms,fwd_return_500ms,0.011078631850558998,102.98263812721399,0.0,86397757,0.011078631850558998,102.98263812721399
sol_log_return_lag200ms,fwd_return_1s,0.014599489873827054,135.71586670988648,0.0,86395937,0.014599489873827054,135.71586670988648
sol_log_return_lag200ms,fwd_return_5s,0.00980113909753736,91.09771207871046,0.0,86381377,0.00980113909753736,91.09771207871046
sol_log_return_lag200ms,fwd_return_10s,0.007274556077927421,67.60554025334652,0.0,86363177,0.007274556077927421,67.60554025334652
sol_log_return_lag200ms,fwd_return_30s,0.004580989760895296,42.55445729329939,0.0,86290377,0.004580989760895296,42.55445729329939
sol_log_return_lag200ms,fwd_return_1m,0.0028309872364772814,26.281266677928617,0.0,86181350,0.0028309872364772814,26.281266677928617
sol_log_return_lag200ms,fwd_return_5m,0.000633041696150269,5.847179852640118,4.999786584747312e-09,85315533,0.000633041696150269,5.847179852640118
sol_log_return_lag200ms,fwd_return_15m,0.00026420444051338156,2.409341538278832,0.015981336597473694,83160385,0.00026420444051338156,2.409341538278832
